"Dewey classification","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of creation/publication","Publisher","Date of creation/publication","Edition","Physical description","BL shelfmark","Topics","Genre","Languages","Notes","Provenance","Referenced in"
"004.6","016115497","Monograph","Language material ; Text","Online resource","","","","Bejleri, Andi","","person","","Imperial College, London [organisation] ; Bejleri, Andi [person]","Parameterised session types : communication patterns through the looking glass of session types","","","","United Kingdom","","Imperial College London ; University of London Press","2012","","1 online resource","550830","","","English","","",""
"005","009136348","Monograph","Language material ; Text","Online resource","","","","Sturdy, J. C G.","","person","","Sturdy, J. C G. [person]","A LISP through the looking glass","","","","","","University of Bath","1991","","","292829","Computer software ; Programming language interpreters ; Computer software & programming","","English","","",""
"070.449951","015118285","Monograph","Language material ; Text","Volume","GBA940781","","9789622099821","French, Paul","1966-","person","","French, Paul, 1966- [person]","Through the looking glass : China's foreign journalists from opium wars to Mao","","","","China ; England ; Hong Kong","London","Eurospan ; Hong Kong University Press","2009","","1 volume, illustrations, 23 cm","","China--Press coverage ; Foreign correspondents--China--History","","English","","",""
"100","009814404","Monograph","Language material ; Text","Online resource","","","","Harvey, Mark Peter","","person","","Harvey, Mark Peter [person]","Self-contradiction : the paradoxes of desire explored through the looking glass of Lacan","","","","","","University of Kent at Canterbury","1997","","","311272","Lacanian theory ; Philosophy ; Religion ; Psychology","","","","",""
"100","012353971","Monograph","Language material ; Text","Volume","","","9781898248040","Morgan, W. J","","person","","University of Nottingham, Centre for Research into the Education of Adults [organisation] ; Morgan, W. J [person]","Through the looking glass : Marxism; ideology and education revisited","","Occasional paper","","","","University of Nottingham, Centre for Research into the Education of Adults","1994","","","q94/21107","Philosophy ; Religion ; Education & training","","","","",""
"113","016481158","Monograph","Language material ; Text","Volume","GBB5D5965","","9780992614409","Mackenzie (Stuart)","","person","author","Mackenzie (Stuart), author [person]","Through the looking glass : the road map to eternity","","","","United Kingdom","","Stuart Mackenzie Publishing","2013","","xi, 204 pages, 23 cm","YKL.2014.a.5140","Philosophy of nature ; Cosmology","","English","","",""
"121","014693227","Monograph","Language material ; Text","Volume","","","9788889130247 ; 9788889130292","Sini, Carlo","1933-","person","","Sini, Carlo, 1933- [person]","Il segreto di Alice e altri saggi","Segreto di Alice","Pragmata : l'economia deel vero","4 [Pragmata : l'economia deel vero]","Italy","Milano","Albo versorio","2006","","146 pages, 21 cm","YF.2009.a.9084","Carroll, Lewis, 1832-1898 ; Philosophy","","Italian","Collected writings, mostly already published in the periodicals Paradosso and Oltrecorrente","",""
"133.581582","006134634","Monographic component part","Language material ; Text","Volume","","","9780877287216","Idemon, Richard","","person","","Sasportas, Howard [person] ; Idemon, Richard [person]","Through the looking glass : a search for the self in the mirror of relationships","","","","United States of America","York Beach, Maine","S. Weiser","1992","","","8239.457200","Interpersonal relations--Miscellanea ; Astrology","","English","","",""
"133.581582","015497596","Monograph","Language material ; Text","Volume","GBB164005","","9781902405445","Idemon, Richard","","person","","Sasportas, Howard [person] ; Idemon, Richard [person]","Through the looking glass : a search for the self in the mirror of relationships","","","","England","Bournemouth","Wessex Astrologer","2010","","264 pages, illustrations, 22 cm","YK.2011.a.11738","Interpersonal relations--Miscellanea ; Astrology","","English","'First published in 1992 by Samuel Weiser'--T.p. verso","",""
"133.9013","017703970","Monograph","Language material ; Text","Volume","GBB606509","","9780956500946","Caddick, Candace","","person","author","Caddick, Candace, author [person]","Stepping through the looking glass : life on the other side","","","","England","Redhill","Brightstone Publishing","2016","","xii, 175 pages, 22 cm","YKL.2017.a.5637","Future life","","English","","",""
"150","009814404","Monograph","Language material ; Text","Online resource","","","","Harvey, Mark Peter","","person","","Harvey, Mark Peter [person]","Self-contradiction : the paradoxes of desire explored through the looking glass of Lacan","","","","","","University of Kent at Canterbury","1997","","","311272","Lacanian theory ; Philosophy ; Religion ; Psychology","","","","",""
"200","009814404","Monograph","Language material ; Text","Online resource","","","","Harvey, Mark Peter","","person","","Harvey, Mark Peter [person]","Self-contradiction : the paradoxes of desire explored through the looking glass of Lacan","","","","","","University of Kent at Canterbury","1997","","","311272","Lacanian theory ; Philosophy ; Religion ; Psychology","","","","",""
"200","012353971","Monograph","Language material ; Text","Volume","","","9781898248040","Morgan, W. J","","person","","University of Nottingham, Centre for Research into the Education of Adults [organisation] ; Morgan, W. J [person]","Through the looking glass : Marxism; ideology and education revisited","","Occasional paper","","","","University of Nottingham, Centre for Research into the Education of Adults","1994","","","q94/21107","Philosophy ; Religion ; Education & training","","","","",""
"203.50942574","015419008","Monograph","Language material ; Text","Volume","GBB113796","","9781874317067","Hughes, J. Trevor (John Trevor)","","person","","Hughes, J. Trevor (John Trevor) [person]","St Margaret's Well at Binsey near Oxford : the treacle well of Alice in Wonderland","Pharmaceutical historian","","","England","Oxford","Rimes House","2009","","12 pages, illustrations, 21 cm","YK.2011.a.5908","Carroll, Lewis, 1832-1898 ; Saint Margaret's Well (Binsey, England)","","English","'Offprinted from: Pharmaceutical historian, volume 34, number 4, 2004, pages 54-58.' ; Title from cover","",""
"220.830776","015513818","Monograph","Language material ; Text","Volume","","","9781575061429","","","","","Arav, Rami [person]","Cities through the looking glass : essays on the history and archaeology of Biblical urbanism","","","","United States of America","Winona Lake, Indiana","Eisenbrauns","2008","","134 pages, illustrations, maps, 24 cm","m10/.16045","Cities and towns--Biblical teaching ; Bible--Old Testament--Antiquities ; Cities and towns, Ancient--Middle East ; Middle East--Antiquities ; Urbanization--Middle East","","English","","",""
"283.071142","013168162","Monograph","Language material ; Text","Online resource","","","","Mason, Jane B.","","person","","Mason, Jane B. [person] ; University of Southampton [organisation]","Through the looking glass : a biographical study of the experiences of candidates undergoing discernment of vocation to ordained ministry in the Church of England","","","","England","Southampton","University of Southampton","2004","","1 volume, 31 cm","409783","","","English","","",""
"294.3927","015362280","Monograph","Language material ; Text","Volume","GBA987331","","9781888375954","Silberberg, Daniel Doen","1947-","person","","Silberberg, Daniel Doen, 1947- [person] ; Carroll, Lewis, 1832-1898 [person]","Wonderland : the Zen of Alice","Alice's adventures in Wonderland","","","England ; United States of America","Berkeley, California ; Enfield","Parallax","2009","","xiv, 103 pages, 21 cm","YK.2010.a.8616","Alice, (Fictitious character from Carroll) ; Zen Buddhism","","English","","",""
"302.23","007826542","Monograph","Language material ; Text","Online resource","","","","Chimori, Mikiko","","person","","University of East Anglia [organisation] ; Chimori, Mikiko [person]","Sense in nonsense : the 'Alice' books and their Japanese translators and illustrators","","","","England","Norwich","University of East Anglia","2002","","","268490","Lewis Carroll ; Cross-cultural studies ; Illustration ; Performing arts ; Linguistics ; Alice in Wonderland ; Art ; Translation ; Arts ; Mass media ; Literature","","English","","",""
"302.23","009823544","Monograph","Language material ; Text","Online resource","","","","Goss, Stephen","1964-","person","","Goss, Stephen, 1964- [person]","Musical composition : 'Dreamchild' and 'Arcadia'","","","","","","University of London Press","1998","","","313725","Scores; Alice in Wonderland; Carroll, Lewis ; Performing arts ; Mass media ; Literature","","","","",""
"305.26","018131514","Monograph","Language material ; Text","Volume","GBB6J7706","","9780996943345","Love, Tim","","person","author","Love, Tim, author [person]","The book that gets better with age : observations through the looking glass of ageing","","","","England","London","","2017","","72 pages, illustrations, 21 cm","YKL.2018.a.6465","Aging--Social aspects ; Wisdom ; Older people--Psychology","","English","","",""
"305.42","019715032","Monograph","Language material","","","","9780007378050","Kindersley, Tania","","person","author","Vine, Sarah, author [person] ; Kindersley, Tania, author [person]","Through the looking glass : A journey into the world of beauty","","","","England ; New Zealand","London","Fourth Estate ; Harper Entertainment ; HarperCollins ; Jonathan Ball","2020","","300 pages, 21 x 16 x 2 cm","","","","English","hardback","",""
"306","014705703","Monograph","Language material ; Text","Volume","GBA993341","","9781905389797","Howard, Roger","1966-","person","","Centre for Policy Studies [organisation] ; Howard, Roger, 1966- [person]","Through the looking glass : political correctness, foreign policy and bad decisions","","","","England","London","Centre for Policy Studies","2008","","44 pages, 21 cm","YC.2009.a.13970","Political correctness ; Great Britain--Foreign relations","","English","","",""
"306.0952","013741589","Monograph","Language material ; Text","Volume","GBA735650","","9781861979520","Macfarlane, Alan","","person","","Macfarlane, Alan [person]","Japan through the looking glass","","","","England","London","Profile","2007","","xv, 256 pages, 23 cm","YC.2008.a.9458","Japan--Civilization ; Japan--Social life and customs ; Japan--Social conditions","","English","","",""
"306.0952","014602359","Monograph","Language material ; Text","Volume","GBA862107","","9781861979674","Macfarlane, Alan","","person","","Macfarlane, Alan [person]","Japan through the looking glass","","","","England","London","Profile","2008","","xv, 256 pages, 20 cm","m08/.26373","Japan--Civilization ; Japan--Social life and customs ; Japan--Social conditions","","English","Originally published: 2007","",""
"320","015983549","Monograph","Language material ; Text","Online resource","","","","Calvo Mendizabal, Nagore","","person","","Calvo Mendizabal, Nagore [person] ; University of Lancaster [organisation]","Through the looking glass of the high speed train : scalar politics and the makings of Basque country","","","","United Kingdom","","Lancaster University","2009","","1 online resource","539634","","","English","","",""
"323.094752","017160301","Monograph","Language material ; Text","Volume","","","9785984400053","","","","","Pravozashchitnyĭ t︠s︡entr 'Memorial' (Moscow, Russia) [organisation] ; Lokshina, T., editor [person] ; Moskovskai︠a︡ khelʹsinkskai︠a︡ gruppa, publisher [organisation]","Chechnya 2003 : political process through the looking glass","Internet-SMI 'Kavkazskiĭ uzel'","","","Russia","Moscow","Moscow Helsinki Group","2004","","246 pages, 4 pages of unnumbered plates, black and white illustrations, 24 cm","m15/.11868","Presidents--Russia (Federation)--Chechni︠a︡--Election--2003 ; Chechni︠a︡ (Russia)--Politics and government--21st century ; Politicians--Russia (Federation)--Chechni︠a︡--Interviews ; Human rights--Russia (Federation)--Chechni︠a︡ ; Elections--Russia (Federation)--Chechni︠a︡","Interview","English","'This publication was prepared jointly with the 'Memorial' Human Rights Center with informational support of the 'Caucasian Knot''--Cover","",""
"324.24107","007464372","Monograph","Language material ; Text","Volume","GBA158521","","9781859846094","Davies, Liz","","person","","Davies, Liz [person]","Through the looking glass : a dissenter inside New Labour","","","","England","London","Verso","2001","","x, 214 pages, 20 cm","YC.2003.a.18103 ; m01/28925","Labour Party (Great Britain)","","English","Includes index","",""
"324.9730928","008108648","Monograph","Language material ; Text","Volume","GB94W8993","","9780847679683","","","","","Barrus, Roger M. [person] ; Eastby, John [person]","America Through the Looking Glass : Conservative Constitutionalist Critique of the 1992 Election","","","","United States of America","","Rowman & Littlefield","1994","","240 pages, 23 cm","YC.1995.a.2023","","","English","","",""
"324.9730928","010376348","Monograph","Language material ; Text","Volume","GB9533542","","9780847679676 ; 9780847679683","","","","","Eastby, John, 1953- [person] ; Barrus, Roger M. (Roger Milton) [person]","America through the looking glass : a constitutionalist critique of the 1992 election","","","","England","Lanham, Maryland ; London","Rowman & Littlefield","1994","","viii, 282 pages, illustrations, 23 cm","","Presidents--Elections ; Presidents--United States--Election--1992","","English","Includes index","",""
"327.17095","016532169","Monograph","Language material ; Text","Volume","GBB483412","","9780230298699","","","","","St. Antony's College (University of Oxford), publisher [organisation] ; Prantl, Jochen, 1967-, editor [person]","Effective multilateralism : through the looking glass of East Asia","","St Antony's series","","England","Basingstoke, Hampshire","Palgrave Macmillan ; St Antony's College, Oxford","2013","","xiii, 323 pages, black and white illustrations, 23 cm","YC.2014.a.10604","Security, International--East Asia ; East Asian cooperation ; East Asia--Foreign relations ; Geopolitics--East Asia","","English","","",""
"327.41","007362520","Monograph","Language material ; Text","Volume","GB8237833","","9780224019798","Verrier, Anthony","","person","","Verrier, Anthony [person]","Through the looking glass : British foreign policy in an age of illusions","","","","England","London","Cape","1983","","x, 385 pages, 23 cm","83/08297 ; X.529/54233","Great Britain--Foreign relations--Policies of government--1945-1982 ; Great Britain--Foreign relations--1945-","","English","Includes index","",""
"327.56104","016453963","Monograph","Language material ; Text","Volume","GBB362131","","9781409455592","Macmillan, Catherine","","person","author","Macmillan, Catherine, author [person]","Discourse, identity and the question of Turkish accession to the EU : through the looking glass","","","","England","Farnham, Surrey","Ashgate","2013","","191 pages, 24 cm","SPIS327.56104","European Union countries--Foreign relations--Turkey ; Turkey--Foreign relations--European Union countries ; European Union--Membership ; European Union--Turkey--Membership","","English","","",""
"330","006266180","Monographic component part","Language material ; Text","Volume","","","","Sumner, Michael T.","","person","","Sumner, Michael T. [person] ; University of Sussex, International Economics Research Centre [organisation]","Balanced budgets in open economies or Mundell-Fleming through the looking glass","","Discussion papers in economics","","","","University of Sussex, International Economics Research Centre","1994","","","3597.852250","Economics & economic theory ; Finance ; Banking ; Taxation","","English","","",""
"332","006266180","Monographic component part","Language material ; Text","Volume","","","","Sumner, Michael T.","","person","","Sumner, Michael T. [person] ; University of Sussex, International Economics Research Centre [organisation]","Balanced budgets in open economies or Mundell-Fleming through the looking glass","","Discussion papers in economics","","","","University of Sussex, International Economics Research Centre","1994","","","3597.852250","Economics & economic theory ; Finance ; Banking ; Taxation","","English","","",""
"336.2","006266180","Monographic component part","Language material ; Text","Volume","","","","Sumner, Michael T.","","person","","Sumner, Michael T. [person] ; University of Sussex, International Economics Research Centre [organisation]","Balanced budgets in open economies or Mundell-Fleming through the looking glass","","Discussion papers in economics","","","","University of Sussex, International Economics Research Centre","1994","","","3597.852250","Economics & economic theory ; Finance ; Banking ; Taxation","","English","","",""
"341.24220956","018195084","Monograph","Language material","","","","9781138279735","Macmillan, Catherine","","person","","Macmillan, Catherine [person]","Discourse, Identity and the Question of Turkish Accession to the Eu : Through the Looking Glass. by Catherine MacMillan","","","","England","London","Bookpoint ; Jonathan Ball ; Routledge ; Taylor & Francis","2016","","","","","","English","paperback / softback. Trade paperback (US) . Unsewn / adhesive bound","",""
"341.242209561","017882408","Monograph","Language material ; Text","Online resource","GBB753386","","9781317149828","Macmillan, Catherine","","person","author","Macmillan, Catherine, author [person]","Discourse, identity and the question of Turkish accession to the EU : through the looking glass","","","","","","Routledge","2016","","1 online resource (200 pages)","ELD.DS.64512","European Union--Turkey--Membership","","English","","",""
"352.140941","015640902","Monograph","Language material ; Text","Volume","GBB152208","","9781903447888","Roth, Olivier","","person","","Improvement and Efficiency West Midlands (Program) [organisation] ; Roth, Olivier [person] ; New Local Government Network [organisation] ; South West Improvement & Efficiency Partnership (Great Britain) [organisation]","Through the looking glass : putting citizens at the heart of the assessment process","","","","England","London","NLGN","2010","","89 pages, colour illustrations, 21 cm","YK.2011.a.16440","Public administration--Great Britain--Evaluation ; Local government--Great Britain--Evaluation","","English","Title from cover","",""
"361.7","008819553","Monograph","Language material ; Text","Volume","GB8928939","","9780951043509","","","","","Leicester Council for Voluntary Service [organisation] ; Duddy, Shirley [person] ; Landau-North, Martin [person]","Self-help through the looking glass","","","","England","Leicester","LCVS","1985","","iv, 90 pages, 22 cm","85/24143 ; YC.1989.a.2278","Self-help groups--Great Britain ; Great Britain--Self-help groups","","English","","",""
"362.1","011693571","Monograph","Language material ; Text","Volume","","","9780901003966","Institute of Health Services Management (Great Britain)","","organisation","","Institute of Health Services Management (Great Britain) [organisation] ; Royal College of Nursing (Great Britain) [organisation]","Through the looking glass - opening up the NHS funding debate : a discussion paper","","","","","","Institute of Health Services Management","1993","","","q94/07030","Medical care ; Health services & community care services","","","","",""
"362.19892462","019392772","Monograph","Language material ; Text","Volume","GBB982292","","","Besser, Rachel","","person","author","Besser, Rachel, author [person]","Diabetes through the looking glass : seeing diabetes from your child's perspective","","","","England","Bridgwater","Class Health","2018","Revised reprinted","xiii, 294 pages, black and white illustrations, 23 cm","","Diabetes in children--Popular works ; Diabetes--Patients--Family relationships--Popular works ; Diabetes--Psychological aspects--Popular works","","English","Includes index","",""
"364.1","016423196","Monograph","Language material ; Text","Online resource","","","","Tarlov, Jessica","","person","author","London School of Economics and Political Science [organisation] ; Tarlov, Jessica, author [person]","Through the looking glass : controversy, scandal and political careers","","","","United Kingdom","","London School of Economics & Political Science ; University of London Press","2012","","1 online resource","571115","","","English","","",""
"370","012353971","Monograph","Language material ; Text","Volume","","","9781898248040","Morgan, W. J","","person","","University of Nottingham, Centre for Research into the Education of Adults [organisation] ; Morgan, W. J [person]","Through the looking glass : Marxism; ideology and education revisited","","Occasional paper","","","","University of Nottingham, Centre for Research into the Education of Adults","1994","","","q94/21107","Philosophy ; Religion ; Education & training","","","","",""
"370.71","012960601","Monograph","Language material ; Text","Online resource","","","","Radford, Linda Margaret","","person","","Radford, Linda Margaret [person] ; Manchester Metropolitan University [organisation]","Teachers through the looking glass : an enquiry into the public image of teachers","","","","England","Manchester","Manchester Metropolitan University","2004","","1 volume, 31 cm","399545","","","English","","",""
"370.711094105","015563936","Serial","Language material ; Text","Volume","GBB066302","","","","","","","University of Central Lancashire [organisation]","Through the looking glass : reflective research in post compulsory education","Through the looking glass (Preston)","","","England","Preston","University of Central Lancashire","2006-","","volumes, illustrations, 21 cm","ZK.9.a.11496","Teachers--Training of--Great Britain--Periodicals ; Education--Study and teaching--Periodicals","Periodical","English","Description based on: volume 2, number 1 (January 2007) ; volume 2 (January 2007) issued in two part","",""
"372.21","010457250","Monograph","Language material ; Text","Volume","GBA510410","","9780130420800","Nicolson, Sheryl","","person","","Nicolson, Sheryl [person] ; Shipstead, Susan G. [person]","Through the looking glass : observations in the early childhood classroom","","","","England ; United States of America","London ; Upper Saddle River, New Jersey","Merrill ; Prentice Hall","2002","3rd edition","xix, 396 pages, illustrations, 24 cm","YK.2005.a.347 ; m02/30712","Early childhood education ; Observation (Educational method) ; Child development","","English","","",""
"372.6","009477103","Monograph","Language material ; Text","Volume","GB9490280","","9780952093701","Craig, Felicity","","person","","Craig, Felicity [person]","Language through the looking glass : the literacy debate resolved?","","","","England","Dartmouth","One-to-One","1992","","20 pages","YK.1996.a.8392","Literacy programs ; Children--Literacy education ; Language arts (Elementary) ; Children--Books and reading","","English","","",""
"372.60440941","018407524","Monograph","Language material ; Text","Volume","GBB7B3047","","9781407176161","Burt, Sarah Ellen","","person","author","Ridgard, Debbie, author [person] ; Burt, Sarah Ellen, author [person]","Alice in Wonderland","","Read & respond","","England","London","Scholastic","2017","","1 volume, 30 cm","","Carroll, Lewis, 1832-1898 ; Literacy--Study and teaching (Elementary)--Great Britain","","English","","",""
"374","017649114","Monograph","Language material ; Text","Volume","","","9781909755000","","","","","","Through the Looking Glass 2014 : Reflective Research in Post Compulsory Education. Volume 9","","","","England","Preston","University of Central Lancashire","2014","","184 pages, 21 x 15 cm","","","","English","paperback","",""
"374","017649115","Monograph","Language material ; Text","Volume","","","9781909755055","","","","","","Through the Looking Glass 2015 : Reflective Research in Post Compulsory Education. Volume 10","","","","England","Preston","University of Central Lancashire","2015","","184 pages, 21 x 15 cm","","","","English","paperback","",""
"378.10973","010039618","Monograph","Language material ; Text","Volume","GB9608918","","9780080425641","","","","","Sporn, Barbara [person] ; Dill, David D., 1940- [person]","Emerging patterns of social demand and university reform : through the looking glass","","Issues in higher education","","England ; United States of America","Kidlington ; New York","Elsevier ; IAU Press ; Pergamon","1995","","xviii, 244 pages, illustrations, 24 cm","YC.1996.b.1308","Education, Higher--Social aspects--Europe--Congresses ; Education, Higher--Europe--Administration--Congresses ; Education, Higher--United States--Administration--Congresses ; Higher education institutions--Management ; Education, Higher--Social aspects--United States--Congresses","","English","revised versions of papers presented at the Symposium on the University and Society, held at the Wirtschaftsuniversität Wien, June 1994","",""
"378.42574","015439065","Monograph","Language material ; Text","Volume","GBA9C0660","","9780953667901","","","","","","Oxford through the looking glass","","","","England","Birmingham","WordWorks","2001","2001th edition","175 pages, colour illustrations, colour maps, 30 cm","YK.2010.b.4268","University of Oxford","","English","Includes index","",""
"398.22","011979581","Monograph","Language material ; Text","Volume","GB98Y2138","","9780700710997","Hornung, Eva","","person","","Hornung, Eva [person]","Sheherazade through the looking glass : the metamorphosis of the Thousand and One Nights","","Curzon studies in Arabic and Middle-eastern literatures","","England","Richmond","Curzon","1999","","xi, 170 pages, 23 cm","YC.1999.a.3309 ; m04/14424","Arabic literature--History and criticism ; Arabian nights","","English","","",""
"400","012366119","Monograph","Language material ; Text","Volume","","","9780198700050 ; 9780198700067","Yaguello, Marina","","person","","Harris, Trevor A. Le V. [person] ; Yaguello, Marina [person]","Language through the looking glass : exploring language and linguistics","Alice au pays du langage","","","United States of America","New York","Oxford University Press","1998","","","99/38284","Linguistics ; Language and languages","","English","","",""
"410","007826542","Monograph","Language material ; Text","Online resource","","","","Chimori, Mikiko","","person","","University of East Anglia [organisation] ; Chimori, Mikiko [person]","Sense in nonsense : the 'Alice' books and their Japanese translators and illustrators","","","","England","Norwich","University of East Anglia","2002","","","268490","Lewis Carroll ; Cross-cultural studies ; Illustration ; Performing arts ; Linguistics ; Alice in Wonderland ; Art ; Translation ; Arts ; Mass media ; Literature","","English","","",""
"410","012605710","Monograph","Language material ; Text","Volume","GB9981458","","9780198700050 ; 9780198700067","Yaguello, Marina","","person","","Yaguello, Marina [person]","Language through the looking glass : exploring language and linguistics","Alice au pays du langage","","","England","Oxford","Oxford University Press","1998","","viii, 174 pages, 23 cm","YC.2000.a.6626","Linguistics ; Play on words","","English","Significantly revised and updated version of the author's Alice au pays du language","",""
"421.1","016054100","Monograph","Language material ; Text","Volume","GBB229480","","9781936393862","Lee, Janet","1967-","person","","Lee, Janet, 1967- [person]","The wonderland alphabet","","","","England ; United States of America","Fort Lee, New Jersey ; London","Archaia ; Titan","2012","","1 volume, chiefly colour illustrations, 23 cm","","English language--Alphabet--Comic books, strips, etc--Juvenile literature ; Alice, (Fictitious character from Carroll)--Comic books, strips, etc--Juvenile literature","Children's literature ; Comic or graphic novel","English","","",""
"421.1","018132620","Monograph","Language material ; Still image ; Text","Volume","GBB6J8812","","9781509820542","","","","","Carroll, Lewis, 1832-1898 [person] ; Tenniel, John, 1820-1914 [person]","A is for Alice : an alphabet book","Works","","","England","London","Macmillan","2017","","1 volume (unpaged), chiefly colour illustrations, 19 x 19 cm","CLE.2017.a.189","Board books ; Alice, (Fictitious character from Carroll)--Pictorial works--Juvenile literature ; English language--Alphabet--Pictorial works--Juvenile literature","Children's literature ; Pictorial work","English","Board book","",""
"428.13","018217730","Monograph","Language material ; Still image ; Text","Online resource (ePub ebook)","GBB720801","","9781509859290","","","","","Carroll, Lewis, 1832-1898 [person] ; Tenniel, John, 1820-1914 [person]","A is for Alice : an alphabet book","Works","The Macmillan Alice","","England","London","Macmillan","2017","","1 online resource, chiefly colour illustrations","","Alice, (Fictitious character from Carroll)--Pictorial works--Juvenile literature ; English language--Alphabet--Pictorial works--Juvenile literature","Children's literature ; Pictorial work","English","Additional physical form: Print version. 9781509820542 ; Based on the story by Lewis Carroll","",""
"428.13","019469619","Monograph","Language material ; Still image ; Text","Volume","GBB9C4507","","9780953443864","Johnson, Michael","","person","author","Carroll, Lewis, 1832-1898 [person] ; Tenniel, John, 1820-1914, artist [person] ; Johnson, Michael, author [person]","Alice's alphabet book : a Wonderland A to Z","","","","England","Chipping Norton","Oxgarth Press","2019","","1 volume (unpaged), colour illustrations, 20 cm","","Alice, (Fictitious character from Carroll)--Pictorial works--Juvenile literature ; English language--Alphabet--Pictorial works--Juvenile literature","Children's literature ; Pictorial work","English","","",""
"428.6","007060401","Monograph","Language material ; Text","Volume","GB8225578","","9780195813081","Richards, Jack C.","1943-","person","author","Richards, Jack C., 1943-, author [person] ; Blomfield, Kathryn, illustrator [person] ; Carroll, Lewis, 1832-1898 [person]","Alice's adventures through the looking glass","Through the looking-glass","Oxford progressive English readers. Grade 2","","England ; Hong Kong","Oxford","Oxford University Press","1981","","69 pages, colour illustrations, 22 cm","","Readers--1950- ; English language--Readers--For schools","","English","","",""
"428.6","007736282","Monograph","Language material ; Text","Volume","GB8234208","","9780333315958","Tyler, Deborah","","person","author","Tyler, Deborah, author [person] ; Carroll, Lewis, 1832-1898 [person]","Alice's adventures in Wonderland","","Ranger. Range 3, Fiction","","England","London","Macmillan","1982","","46 pages, illustrations (some colour), 21 cm","","Readers--1950- ; English language--Readers--For schools","","English","","",""
"428.6","010700120","Monograph","Language material ; Text","Volume","GBA139255","","9780582421233","Tomalin, Mary","","person","author","Tomalin, Mary, author [person] ; Carroll, Lewis, 1832-1898 [person]","Alice in Wonderland","Alice's adventures in Wonderland","Penguin readers. Level 2","","England","Harlow","Pearson","2000","","volumes, 40 pages, colour illustrations, 20 cm","YK.2001.a.9491","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction ; Fantasy ; Reader","English","","",""
"428.6","010701447","Monograph","Language material ; Text","Volume","GB8749685","","9780582522787","Swan, D. K.","","person","author","Tenniel, John, 1820-1914, illustrator [person] ; Swan, D. K., author [person] ; Carroll, Lewis, 1832-1898 [person]","Alice in Wonderland","Alice's adventures in Wonderland","Longman classics. Stage 1","","England","Harlow","Longman","1987","","56 pages, colour illustrations, 20 cm","YK.1987.a.6637","Readers--1950- ; English language--Texts","","English","","",""
"428.6","010701551","Monograph","Language material ; Text","Volume","GB7627550","","9780582534148","Swan, D. K.","","person","author","Swan, D. K., author [person] ; Tarrant, Carol, illustrator [person] ; Carroll, Lewis, 1832-1898 [person]","Alice in Wonderland","Alice's adventures in Wonderland","New method supplementary readers. stage 1","","England","London","Longman","1976","","4, 60 pages, illustrations, 19 cm","WP.8655/24 (11)","Readers--1950- ; English language--Texts","","English","","",""
"428.6","011000376","Monograph","Language material ; Text","Volume","GB8200122","","9780582534148","Swan, D. K.","","person","author","Swan, D. K., author [person] ; Tarrant, Carol, illustrator [person] ; Carroll, Lewis, 1832-1898 [person]","Alice in Wonderland","Alice's adventures in Wonderland","NMSR. Stage 1","","England","London","Longman","1978","","60 pages, illustrations, 19 cm","WP.8655/24 (18)","Readers--1950- ; English language--Readers--For schools","","English","","",""
"428.6","011557048","Monograph","Language material ; Text","Volume","GB6009270","","","Carroll, Lewis","1832-1898","person","author ; illustrator","Thomas, G., editor [person] ; Thomas, M. W., editor [person] ; Hall, Douglas, illustrator [person] ; Carroll, Lewis, 1832-1898, author ; illustrator [person]","Alice's adventures in Wonderland","","Junior classics","","England","London","Hutchinson","1960","","94 pages, illustrations, 19 cm","12841.l.7/1","","","English","","",""
"428.6","011944107","Monograph","Language material ; Text","Volume","GB9438035","","9780194227230","Bassett, Jennifer","","person","author","Mistry, Nilesh, illustrator [person] ; Bassett, Jennifer, author [person] ; Carroll, Lewis, 1832-1898 [person]","Alice's adventures in Wonderland","","Oxford bookworms. Green series Stage 2","","England","Oxford","Oxford University Press","1994","","44 pages, illustrations, 20 cm","YK.1994.a.11563","English language--Reading books","","English","","",""
"428.6","011944193","Monograph","Language material ; Text","Volume","GBA036910","","9780194229647","Bassett, Jennifer","","person","author","Mistry, Nilesh, illustrator [person] ; Bassett, Jennifer, author [person] ; Carroll, Lewis, 1832-1898 [person]","Alice's adventures in Wonderland","","Oxford bookworms. Stage 2. Classics","","England","Oxford","Oxford University Press","2000","2nd edition","56 pages, illustrations, 20 cm","YK.2000.a.6912","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction ; Fantasy","English","Previous edition: 1994","",""
"428.6","012596111","Monograph","Language material ; Text","Volume","GB9422544","","9780195852745","","","","","Carroll, Lewis, 1832-1898 [person]","Alice's adventures in Wonderland","","Oxford progressive English readers. Grade 1","","England ; Hong Kong","Oxford","Oxford University Press","1992","","57 pages, colour illustrations, 21 cm","YK.1994.a.8811","English language--Reading books","","English","Text on inside rear covers","",""
